
run 9 ********** ShankarMask **********
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11935 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11936 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11937 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11938 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11939 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11940 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11941 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11942 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11943 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11944 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11945 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11946 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11947 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11948 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11949 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11950 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11951 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11952 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11953 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11954 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11955 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11956 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11957 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11958 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11959 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11960 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11961 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11962 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11963 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11964 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11965 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11966 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11967 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11968 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11969 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11970 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11971 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11972 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11973 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11974 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11975 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11976 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11977 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11978 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11979 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11980 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11981 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11982 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11983 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11984 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11985 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11986 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11987 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11988 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11989 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11990 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11991 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11992 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11993 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11994 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11995 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11996 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11997 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11998 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11999 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12000 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12001 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12002 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12003 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12004 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12005 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12006 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12007 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12008 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12009 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12010 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12011 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12012 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12013 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12014 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12015 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12016 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12017 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12018 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12019 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image12020 True
